applicant_gender,total_income,income_type,education_type,family_status,job_title,applicant_age,years_of_working,total_bad_debt,total_good_debt,status
Female,225000,Commercial Associate,,,Private Service Staff,,10,,38,1
Male,,,Incomplete Higher,Single / Not Married,,29,,0,19,1
Male,,Working,,Married,Laborers,57,,0,3,1
Female,157500,Commercial Associate,,,,,,0,21,1
Female,,,,Married,Core Staff,41,,0,39,1
,,Commercial Associate,Secondary / Secondary Special,,Accountants,,4,,18,1
Female,135000,,Secondary / Secondary Special,Married,Hr Staff,60,6,,9,1
Female,,Working,Secondary / Secondary Special,Married,Private Service Staff,55,21,0,9,1
Female,90000,,Secondary / Secondary Special,Married,Private Service Staff,28,6,0,11,1
Female,,Commercial Associate,,Married,Private Service Staff,28,,0,5,1
,157500,Commercial Associate,Higher Education,,Managers,,,0,,1
Female,180000,,Higher Education,Married,Core Staff,,,0,20,1
Female,157500,Working,Secondary / Secondary Special,Civil Marriage,Cooking Staff,42,10,0,41,1
Female,270000,Working,,,,,11,0,,1
Male,,Working,,,Sales Staff,51,1,,46,1
,,,,Married,,,2,0,13,1
Male,,Working,,Married,High Skill Tech Staff,47,,,30,1
,135000,,,Separated,,39,9,,14,1
,90000,Working,Higher Education,Married,,,,,,1
Female,112500,,,Married,Laborers,42,16,,,1
Female,225000,State Servant,Higher Education,Married,Core Staff,49,7,0,,1
,,,Secondary / Secondary Special,Married,Laborers,35,,0,2,1
,171000,Commercial Associate,,,Accountants,31,6,,,1
,315000,State Servant,Higher Education,,,25,3,,15,1
,,Commercial Associate,Secondary / Secondary Special,Civil Marriage,Laborers,,,0,19,1
Male,,Commercial Associate,,,Security Staff,,3,0,20,1
Male,,Working,Incomplete Higher,Married,Drivers,,,,,1
Male,,Working,Secondary / Secondary Special,Married,High Skill Tech Staff,,20,,12,1
Male,225000,,,,Laborers,,,0,48,1
,270000,Commercial Associate,Secondary / Secondary Special,Married,Realty Agents,47,4,0,9,1
,139500,Commercial Associate,Higher Education,Single / Not Married,Sales Staff,25,1,,,1
Female,,Working,Secondary / Secondary Special,,,48,,0,29,1
Female,121500,Commercial Associate,Secondary / Secondary Special,,Laborers,50,26,0,13,1
,157500,,Higher Education,Married,,27,3,,3,1
Female,,,Secondary / Secondary Special,Married,,,,0,7,1
,180000,Working,,,Cooking Staff,49,,0,,1
,,Working,,Married,Drivers,,6,0,,1
Female,90000,Working,,Married,,52,5,,,1
Female,67500,,Secondary / Secondary Special,Married,,,20,,,1
Male,135000,Commercial Associate,,,Laborers,,18,,,1
Male,180000,,Secondary / Secondary Special,Single / Not Married,,,,,,1
Female,270000,Commercial Associate,Higher Education,Civil Marriage,Laborers,31,11,,15,1
,202500,Commercial Associate,Secondary / Secondary Special,Married,,,3,,5,1
Female,,,,,,31,6,0,4,1
Female,234000,,,Single / Not Married,,,,,37,1
Male,94500,Working,Secondary / Secondary Special,,Drivers,39,,,9,1
Female,,,Secondary / Secondary Special,Married,,,16,1,45,1
Male,202500,Working,,Married,Laborers,,8,0,39,1
,135000,,Secondary / Secondary Special,Widow,Managers,40,3,0,,1
,178200,Working,,,,31,,,,1
Female,,,Secondary / Secondary Special,,,,7,,,1
,202500,Commercial Associate,,Separated,Accountants,39,4,0,,1
Female,76500,Working,,Married,High Skill Tech Staff,34,7,0,7,1
,,,Higher Education,Married,,,13,,38,1
Male,,,,Married,,,,0,41,1
Female,,,Secondary / Secondary Special,Married,Managers,53,,2,,1
,90000,Commercial Associate,Secondary / Secondary Special,,,52,9,0,,1
,,,,Single / Not Married,,44,6,0,,1
Female,157500,State Servant,,,Core Staff,,3,0,,1
Male,180000,Working,,Civil Marriage,,,10,,7,1
,180000,,,,,,12,,57,1
Female,270000,Commercial Associate,,,Managers,,23,0,,1
Male,900000,,,,,,6,,20,1
Female,63000,Commercial Associate,,Married,Core Staff,,6,0,22,1
,225000,,,Separated,Managers,42,,0,,1
,,,,,,,,0,35,1
Female,,Working,Higher Education,Married,Laborers,,3,0,,1
,157500,Working,Secondary / Secondary Special,Single / Not Married,Drivers,31,,0,,1
Female,157500,,Higher Education,Married,,38,,0,,1
,135000,,Secondary / Secondary Special,Married,Managers,,,,3,1
Female,,,Higher Education,,,42,16,,11,1
,337500,Commercial Associate,,Single / Not Married,Sales Staff,32,,0,60,1
Female,135000,,Secondary / Secondary Special,Married,,39,1,,6,1
Male,,,Higher Education,Married,Core Staff,29,5,,,1
Male,126000,,,Married,,41,8,0,23,1
Male,198000,Commercial Associate,,Married,,38,,,46,1
,,Working,,Married,,37,2,,,1
Female,,State Servant,Secondary / Secondary Special,,Cooking Staff,,5,,26,1
Male,,Commercial Associate,Secondary / Secondary Special,,Laborers,30,,0,23,1
,193500,Working,Higher Education,,,,,,32,1
,,,Higher Education,Single / Not Married,,51,,0,,1
Male,157500,,Secondary / Secondary Special,Married,Laborers,,,0,15,1
Female,,Working,Higher Education,,Core Staff,39,5,,20,1
Male,,Commercial Associate,Secondary / Secondary Special,Married,Managers,35,12,0,,1
Female,157500,,Higher Education,Married,Sales Staff,,,0,,1
Female,360000,Commercial Associate,,Married,Managers,51,5,0,30,1
Female,,State Servant,,Married,,48,11,0,9,1
Female,270000,Working,,,,55,,,33,1
Female,,Working,,,,40,,,,1
,616500,Commercial Associate,,,Managers,37,,0,,1
Female,112500,,,,,28,,0,40,1
Female,405000,,,Married,,,,0,47,1
Male,,State Servant,Secondary / Secondary Special,,Drivers,,8,0,,1
Male,,,,,Laborers,50,,0,,1
Male,234000,Working,Secondary / Secondary Special,,Laborers,43,9,0,,1
Male,90000,Working,Secondary / Secondary Special,Married,,,1,,,1
Female,,Working,,Married,Cleaning Staff,53,4,,31,1
,,Commercial Associate,Higher Education,Married,,39,4,0,7,1
Male,,Working,,,Cooking Staff,24,1,0,15,1
Female,157500,,,Civil Marriage,Cooking Staff,41,,0,16,1
Male,,,Secondary / Secondary Special,Married,Drivers,,,0,,1
Male,202500,,Secondary / Secondary Special,Married,Core Staff,,,0,,1
Male,,Working,Secondary / Secondary Special,,,60,19,0,,1
Male,139500,Working,Secondary / Secondary Special,Married,,51,,0,,1
Female,,,,Widow,Cleaning Staff,47,7,3,,1
,202500,Commercial Associate,,Married,,,,1,,1
,135000,Working,,Married,,26,3,,,1
,,Working,,,Sales Staff,,6,0,,1
,,Commercial Associate,Secondary / Secondary Special,Married,Laborers,,8,,12,1
Female,,Working,Higher Education,,Core Staff,58,,,23,1
Male,135000,Working,Secondary / Secondary Special,,Security Staff,44,1,0,14,1
Male,270000,Working,,Married,Laborers,,5,,24,1
,315000,Commercial Associate,Higher Education,Married,Managers,46,9,0,19,1
Male,,Working,Secondary / Secondary Special,Married,Laborers,25,5,0,3,1
,675000,,Secondary / Secondary Special,Married,Drivers,39,,,2,1
,157500,Commercial Associate,Secondary / Secondary Special,Married,,25,,0,24,1
Female,,,,Married,Core Staff,31,,0,,1
,135000,Working,,,Laborers,42,14,0,13,1
,,Working,,,Laborers,,,0,,1
Male,202500,,Secondary / Secondary Special,Married,,,11,0,11,1
,,,Secondary / Secondary Special,Single / Not Married,,55,,0,19,1
,90000,,,,,29,5,,34,1
,112500,,Secondary / Secondary Special,,Sales Staff,,,1,9,1
,157500,,Higher Education,Married,Laborers,34,,0,,1
Female,135000,Commercial Associate,,Married,Laborers,,6,0,,1
,270000,Working,,Single / Not Married,Laborers,42,9,0,,1
Female,135000,Working,Higher Education,,,38,,0,7,1
Female,234000,Working,Secondary / Secondary Special,,Cleaning Staff,50,,2,,1
,,Working,,Separated,Core Staff,,,0,4,1
,450000,Working,Secondary / Secondary Special,Married,,41,20,,,1
Female,,Commercial Associate,Secondary / Secondary Special,Widow,Cooking Staff,,7,0,2,1
,,Commercial Associate,,,,47,5,0,8,1
,157500,,Secondary / Secondary Special,Married,,47,,0,54,1
Female,450000,,Secondary / Secondary Special,Married,Laborers,52,2,0,10,1
Female,112500,Working,,,,28,2,0,,1
,,,,Separated,,50,,0,,1
,360000,Commercial Associate,Incomplete Higher,Married,Managers,45,,0,,1
Female,261000,Commercial Associate,Secondary / Secondary Special,Single / Not Married,,24,3,,,1
,135000,Working,Higher Education,,Managers,,4,0,3,1
,270000,,Secondary / Secondary Special,Married,,,,,,1
Female,,,,Separated,,33,,2,,1
,,Commercial Associate,Higher Education,Single / Not Married,Laborers,,11,0,14,1
Male,202500,,,Married,Laborers,49,2,,21,1
,,Working,,Married,,55,6,0,11,1
Female,157500,Working,Secondary / Secondary Special,Married,Cooking Staff,35,17,0,,1
,180000,Commercial Associate,,Single / Not Married,,27,6,0,,1
Male,,State Servant,Secondary / Secondary Special,,Core Staff,40,7,,26,1
,,Working,,Married,Managers,,6,0,8,1
Male,225000,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Managers,48,,0,,1
,180000,Commercial Associate,Higher Education,Separated,,,20,,43,1
Male,,Working,Higher Education,Married,High Skill Tech Staff,56,,0,,1
Female,180000,Working,Higher Education,Married,Core Staff,39,20,,1,1
Female,,Commercial Associate,Higher Education,,Core Staff,,,0,,1
Male,135000,,,Married,Laborers,41,,0,,1
Female,,Working,Secondary / Secondary Special,Married,,42,7,,,1
,112500,,,,,41,,0,,1
,180000,,,,,38,9,,29,1
Female,355500,Commercial Associate,Secondary / Secondary Special,Married,Core Staff,,1,0,45,1
Male,,,Secondary / Secondary Special,Civil Marriage,Laborers,52,14,0,,1
Male,,Working,Secondary / Secondary Special,,,,,0,,1
Female,202500,Working,,Married,Laborers,37,15,8,,1
,270000,Working,Higher Education,Married,Core Staff,51,28,1,,1
Male,180000,Working,Secondary / Secondary Special,,,42,9,0,51,1
,,,,,Laborers,,8,0,16,1
Female,,Commercial Associate,,,Managers,54,,2,,1
,202500,Working,,,,31,,0,15,1
Male,202500,,Secondary / Secondary Special,,Laborers,51,10,0,21,1
Female,135000,State Servant,,,,,,0,4,1
,,Working,Secondary / Secondary Special,,,,3,,19,1
Female,,State Servant,,Single / Not Married,Managers,,2,0,19,1
,,Working,,Married,,30,3,0,,1
Male,,Commercial Associate,Secondary / Secondary Special,,,,,0,1,1
,,Working,Secondary / Secondary Special,Civil Marriage,Sales Staff,,,,37,1
Male,76500,,Secondary / Secondary Special,Married,Laborers,,7,0,,1
Female,180000,Working,,Civil Marriage,,54,,,14,1
Female,,Working,Secondary / Secondary Special,Married,Laborers,36,7,0,13,1
,225000,Working,Secondary / Secondary Special,,Drivers,37,,0,,1
,135000,Commercial Associate,Secondary / Secondary Special,,,49,7,0,24,1
,90000,,,Married,Medicine Staff,,23,,19,1
Female,270000,,Secondary / Secondary Special,Married,Managers,37,7,0,,1
Male,90000,,Secondary / Secondary Special,,,39,7,,,1
,112500,Working,,,Core Staff,32,3,0,,1
,225000,Working,,Married,Drivers,37,3,0,,1
Female,112500,,Secondary / Secondary Special,,Laborers,,15,,,1
,157500,Working,,Married,,42,7,,8,1
,135000,Commercial Associate,,Married,Sales Staff,,4,0,,1
,,,Higher Education,,,28,2,0,3,1
Female,112500,,Higher Education,Married,Sales Staff,30,,0,8,1
,,,,Married,Core Staff,47,,,19,1
Female,,,,,,38,7,0,,1
Female,135000,Commercial Associate,Secondary / Secondary Special,,,,7,0,,1
,148500,Working,,,Laborers,,9,,3,1
,184500,Working,Higher Education,,Core Staff,,13,0,1,1
Female,234000,Working,Secondary / Secondary Special,Single / Not Married,,57,22,0,19,1
Male,,Working,Secondary / Secondary Special,,Laborers,,4,0,8,1
,193500,State Servant,Higher Education,,Core Staff,31,4,0,23,1
Female,,Working,Secondary / Secondary Special,,Managers,45,,,,1
Female,180000,Working,,,Managers,49,,,27,1
,135000,,Secondary / Secondary Special,Married,,35,7,0,21,1
Female,,Working,Secondary / Secondary Special,Married,Laborers,36,3,0,,1
Female,,Working,,,Sales Staff,,6,0,12,1
Female,166500,Commercial Associate,,Civil Marriage,,39,,0,,1
,,,,Separated,,,9,0,14,1
,157500,Commercial Associate,,,Core Staff,29,,,,1
,306000,Commercial Associate,,Married,,53,4,0,,1
,270000,,Secondary / Secondary Special,,Laborers,,13,0,,1
Male,,Working,Secondary / Secondary Special,Married,,52,5,,,1
Female,247500,Working,Secondary / Secondary Special,Civil Marriage,,,4,0,48,1
,270000,,Higher Education,,Managers,44,9,2,,1
,202500,,Secondary / Secondary Special,Married,Medicine Staff,42,3,1,,1
Male,225000,Commercial Associate,,,Drivers,,,,,1
Female,81000,Working,Secondary / Secondary Special,,Medicine Staff,47,,0,11,1
,270000,,Higher Education,Married,Drivers,30,,0,,1
Female,144000,,Secondary / Secondary Special,,Sales Staff,46,28,0,36,1
Female,,Commercial Associate,Higher Education,Married,Drivers,29,2,0,18,1
Male,135000,Working,Secondary / Secondary Special,Married,Laborers,29,4,3,23,1
,,,Higher Education,Married,Managers,29,,0,4,1
Female,,Commercial Associate,,,,30,2,0,20,1
Female,112500,State Servant,Lower Secondary,Married,Laborers,,8,,,1
,,Working,Secondary / Secondary Special,Married,,33,6,0,53,1
,,Commercial Associate,,,Managers,26,5,1,9,1
Male,,Working,,,,47,4,0,,1
,135000,Working,Secondary / Secondary Special,Married,,48,11,,,1
,135000,,Secondary / Secondary Special,Married,,36,13,1,20,1
Female,90000,,Secondary / Secondary Special,Married,Sales Staff,,,0,,1
Male,,Working,Secondary / Secondary Special,Single / Not Married,,,10,,14,1
Female,,,Secondary / Secondary Special,,High Skill Tech Staff,,,0,,1
Female,,Working,Higher Education,Married,Accountants,,8,0,9,1
Male,315000,,Higher Education,,,36,,,20,1
Male,,,,Married,Security Staff,,,0,4,1
Male,,,Secondary / Secondary Special,,Laborers,,4,0,5,1
,180000,Working,Higher Education,Married,,28,2,0,,1
,108000,Working,Secondary / Secondary Special,Married,Sales Staff,36,4,0,2,1
,225000,,Secondary / Secondary Special,Married,Security Staff,,13,1,6,1
,,State Servant,Secondary / Secondary Special,Married,,52,18,,39,1
Female,225000,Working,,Widow,,40,2,,,1
Male,,Commercial Associate,,Married,Managers,60,,,,1
Female,216000,,Secondary / Secondary Special,Married,Medicine Staff,,12,0,,1
Female,225000,,,,Accountants,,8,,18,1
Female,,Working,Secondary / Secondary Special,,,,,0,11,1
,90000,,Lower Secondary,Single / Not Married,Core Staff,,8,0,,1
,,Working,,,Laborers,,9,0,,1
,180000,Working,Higher Education,Married,Laborers,,,0,19,1
Female,225000,,Secondary / Secondary Special,Married,Managers,48,6,,,1
Female,,Working,Secondary / Secondary Special,Married,High Skill Tech Staff,,5,0,,1
Male,225000,Working,Secondary / Secondary Special,,Laborers,38,2,0,28,1
Female,,Commercial Associate,Higher Education,,Laborers,38,,,,1
,159750,Commercial Associate,,,Core Staff,,1,,,1
Female,225000,Commercial Associate,Higher Education,,Managers,44,3,0,,1
,225000,Commercial Associate,Higher Education,Widow,,55,28,0,20,1
,,,,Married,Core Staff,,2,,25,1
Female,180000,Commercial Associate,Higher Education,Civil Marriage,Hr Staff,,,0,12,1
,,Working,Secondary / Secondary Special,,Sales Staff,25,5,0,,1
,292500,Commercial Associate,Secondary / Secondary Special,Civil Marriage,,49,,0,5,1
Male,,Working,Secondary / Secondary Special,Separated,,,2,0,32,1
,225000,,Higher Education,Married,,,9,0,42,1
,121500,,Secondary / Secondary Special,,,,,0,31,1
Female,216000,State Servant,Higher Education,Widow,Core Staff,51,12,0,11,1
Female,,,Incomplete Higher,,Sales Staff,,,1,11,1
,90000,Working,Secondary / Secondary Special,Single / Not Married,Laborers,25,3,,25,1
Female,,Working,Higher Education,Married,Core Staff,,2,0,45,1
,157500,Commercial Associate,,,,,1,,33,1
,135000,Commercial Associate,Secondary / Secondary Special,Married,Core Staff,,,0,15,1
,405000,,Higher Education,Widow,Accountants,37,,,,1
Female,,Working,Secondary / Secondary Special,Married,,46,,,8,1
Female,180000,Working,Higher Education,Widow,Secretaries,,,0,20,1
Male,,,,,,34,15,,26,1
Female,202500,,Secondary / Secondary Special,Civil Marriage,Core Staff,31,,0,,1
,,State Servant,,,,,16,0,2,1
Female,202500,Working,Higher Education,Married,,,,0,44,1
Male,,,Secondary / Secondary Special,Married,,45,3,,,0
,,,,Married,Drivers,43,17,,11,1
Female,,,,,,52,,1,,1
,225000,Working,,Married,,31,7,0,36,1
Female,,,Secondary / Secondary Special,Married,Core Staff,29,3,,23,1
Male,180000,,Secondary / Secondary Special,,,,14,,16,1
Female,202500,,Secondary / Secondary Special,,Medicine Staff,47,,,4,1
,,State Servant,Higher Education,Married,,,,5,12,1
,247500,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Sales Staff,,18,,6,1
Female,,Commercial Associate,Secondary / Secondary Special,Married,,48,9,0,22,1
Male,,Working,Secondary / Secondary Special,,Laborers,,,0,,1
Male,,Working,,,,54,,,,1
Female,450000,Commercial Associate,Secondary / Secondary Special,Married,Managers,47,26,0,30,1
Female,315000,,,,,31,,0,10,1
,126000,Working,,Married,,59,6,0,34,1
Female,,,Secondary / Secondary Special,Married,High Skill Tech Staff,36,5,0,,1
Female,,,Higher Education,Separated,Managers,52,,0,12,1
Female,81000,,Higher Education,,Core Staff,31,8,0,13,1
,175500,Working,Secondary / Secondary Special,,Cleaning Staff,46,,0,33,1
,,Working,,,,55,,,13,1
Female,,,Higher Education,,,40,8,0,29,1
Female,,,,Married,Cooking Staff,,,,,1
,,,Secondary / Secondary Special,,,,2,0,,1
Female,112500,,,,High Skill Tech Staff,,,,,1
,238500,,Higher Education,Married,,,6,0,33,1
Male,,,Secondary / Secondary Special,Married,,28,,0,12,1
,,Working,,,Laborers,,10,,25,1
Male,,Working,Higher Education,Single / Not Married,,30,,0,47,1
,270000,,Secondary / Secondary Special,,Laborers,,26,0,,1
Male,,,,Married,Managers,,18,,,1
,,Commercial Associate,Secondary / Secondary Special,Married,Sales Staff,,,2,20,1
,,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Sales Staff,,18,,12,1
Female,,,,Single / Not Married,Sales Staff,48,7,0,12,1
Male,,,Secondary / Secondary Special,Married,,30,8,,,1
,90000,Working,Secondary / Secondary Special,,Laborers,53,,,51,1
,139500,Working,,,,40,20,2,20,1
Female,,Working,Secondary / Secondary Special,,,30,6,,33,1
Male,,Commercial Associate,,Married,Managers,36,5,0,6,1
,,Commercial Associate,,Married,,,2,0,5,1
Female,225000,Working,Secondary / Secondary Special,,Private Service Staff,36,2,0,9,1
Female,135000,,Secondary / Secondary Special,Civil Marriage,Cleaning Staff,,3,0,16,1
,,,,Married,,29,,0,9,1
,360000,,Higher Education,Widow,Managers,46,,0,,1
,,,,,Medicine Staff,38,2,,,1
Male,,Commercial Associate,Higher Education,Single / Not Married,,,,0,11,1
Male,270000,Working,,Married,Laborers,33,2,0,,1
Male,225000,Working,Secondary / Secondary Special,,Laborers,,,3,21,1
Male,,Working,,Married,,,10,0,33,1
Female,,Working,,,Drivers,43,7,0,,1
Male,,,,Separated,,,5,0,22,1
Male,,Working,Higher Education,Separated,Sales Staff,,1,0,,1
Male,135000,,,,Laborers,32,2,0,2,1
Female,,,Secondary / Secondary Special,,,,,,,1
Female,135000,,Secondary / Secondary Special,,Sales Staff,,1,,21,1
,216000,Working,Higher Education,Widow,,36,4,,,1
Female,,,,Married,Accountants,,7,0,10,1
Male,,Working,Secondary / Secondary Special,,Laborers,34,5,0,44,1
,99000,,Secondary / Secondary Special,Married,,50,2,,,1
Male,157500,,Higher Education,Single / Not Married,Sales Staff,,5,0,4,1
Female,,,Higher Education,Married,Core Staff,41,6,,4,1
,81000,Working,Secondary / Secondary Special,,,49,2,,15,1
Male,,Commercial Associate,,,Security Staff,33,1,0,10,1
Female,405000,Working,,Married,,,5,0,,1
,,Working,Higher Education,Married,Core Staff,30,4,,,1
,180000,,Higher Education,Married,Managers,,,0,,1
,,State Servant,,Widow,Core Staff,,15,,,1
Female,135000,,Secondary / Secondary Special,Widow,,38,1,0,10,1
,189000,,Secondary / Secondary Special,Married,Core Staff,44,8,,20,1
Female,180000,Working,Higher Education,Married,Managers,,9,,,1
Female,180000,,,,Medicine Staff,57,,1,13,1
Female,,Working,,Married,Hr Staff,38,,0,54,1
,112500,Working,Secondary / Secondary Special,Married,Laborers,,,0,49,1
,,,,Married,,25,,,,1
,139500,,Secondary / Secondary Special,,,46,5,1,8,1
Female,90000,,,Married,Cleaning Staff,,,,16,1
Female,,Working,,Separated,Core Staff,60,,0,,1
Male,180000,Working,,Married,Laborers,31,,0,16,1
Female,,State Servant,Secondary / Secondary Special,Married,,,,0,38,1
Female,,Working,Secondary / Secondary Special,,Laborers,28,,0,51,1
,,Working,Higher Education,,Laborers,31,,,8,1
Female,171000,,Secondary / Secondary Special,,Sales Staff,42,,,50,1
Male,126000,Working,,,Sales Staff,50,,0,24,1
,,Commercial Associate,Higher Education,Single / Not Married,Accountants,39,9,0,,1
Female,,Commercial Associate,Secondary / Secondary Special,,,,,0,13,1
Female,,Commercial Associate,Higher Education,,Managers,,8,,10,1
Female,,,,,Core Staff,,1,0,38,1
Male,,,Higher Education,,,,6,,,1
,103500,Working,Secondary / Secondary Special,,Sales Staff,33,,,,1
Female,315000,Working,,Separated,,,6,0,6,1
Female,,Working,Secondary / Secondary Special,Separated,High Skill Tech Staff,43,,4,,1
,,,Higher Education,Civil Marriage,Managers,,3,0,7,1
,,Working,Lower Secondary,,Cleaning Staff,34,2,0,,1
Female,,Working,Secondary / Secondary Special,,,55,,,48,1
Female,,,Secondary / Secondary Special,,,,15,0,26,1
Male,,,Secondary / Secondary Special,Married,,43,13,,12,1
Female,,,Higher Education,Married,High Skill Tech Staff,34,,,22,1
,166500,Working,Higher Education,Married,,29,,0,45,1
,,Working,,Separated,Managers,,,,,1
,135000,Commercial Associate,Higher Education,,,,,0,,1
Male,225000,,Secondary / Secondary Special,Single / Not Married,,48,,5,,1
Female,171000,State Servant,,Separated,It Staff,57,,0,,1
Female,126000,,Secondary / Secondary Special,Single / Not Married,Core Staff,51,6,0,,1
Female,121500,Commercial Associate,Secondary / Secondary Special,Married,,31,8,,28,1
Female,445500,Commercial Associate,,Married,Managers,,2,0,33,1
,270000,Commercial Associate,Secondary / Secondary Special,,,,8,,27,1
Male,225000,,,,Laborers,33,13,0,5,1
Female,157500,,Secondary / Secondary Special,,Core Staff,,7,3,,1
,202500,Commercial Associate,Secondary / Secondary Special,Separated,,,10,0,30,1
Male,180000,,,Married,,28,2,,36,1
Female,,Working,Secondary / Secondary Special,,Laborers,60,1,,9,1
,,Working,Higher Education,Civil Marriage,Laborers,,5,,52,1
,,,Secondary / Secondary Special,Single / Not Married,,27,,0,5,1
Male,,,Secondary / Secondary Special,Married,Laborers,60,,0,,1
Female,81000,Working,,,Sales Staff,54,3,0,,1
,,Working,Secondary / Secondary Special,,,,,,11,1
,,Commercial Associate,Higher Education,Married,Managers,42,5,,,1
Female,,Working,,,Core Staff,57,18,0,38,1
,202500,Commercial Associate,Secondary / Secondary Special,,Drivers,39,1,0,,1
Female,225000,Working,,Married,Managers,,3,0,36,1
,360000,,Secondary / Secondary Special,,Managers,29,4,,2,1
,270000,Commercial Associate,Secondary / Secondary Special,,Drivers,,9,0,40,1
,225000,Working,,Married,,33,,,36,1
Female,,Commercial Associate,,Married,Sales Staff,31,,0,,1
Female,211500,Commercial Associate,Higher Education,Married,Laborers,,13,,38,1
Female,,Commercial Associate,,Married,Sales Staff,,2,0,6,1
,135000,Commercial Associate,,Married,Laborers,26,4,0,14,1
Male,315000,Working,Secondary / Secondary Special,Married,Managers,39,3,0,13,1
,157500,,Higher Education,,Accountants,28,3,0,13,1
Female,63000,Commercial Associate,Secondary / Secondary Special,,,,,,40,1
,225000,Commercial Associate,,Separated,Waiters/Barmen Staff,34,,0,,1
,360000,,Higher Education,Married,Core Staff,,3,,7,1
Female,,Working,,Married,,38,19,,,1
Female,,Working,,Single / Not Married,,,6,2,,1
Male,,Commercial Associate,Higher Education,Married,Core Staff,,,0,7,1
Female,193500,Working,,Married,High Skill Tech Staff,,20,,,1
Male,180000,,,,,55,17,,,1
Female,202500,,Secondary / Secondary Special,Single / Not Married,,64,15,1,15,1
,112500,State Servant,Secondary / Secondary Special,Married,,,11,,9,1
Female,126000,Commercial Associate,Secondary / Secondary Special,Married,,46,,,10,1
,139500,Working,,,,40,20,2,20,1
,,Working,Higher Education,Married,,26,1,,9,1
Male,135000,Working,Secondary / Secondary Special,Married,Security Staff,,1,0,,1
,216000,,Higher Education,,,35,,1,,1
,,,,Single / Not Married,Laborers,,,,,1
Female,270000,,Secondary / Secondary Special,,Sales Staff,,,0,,1
Female,,,Secondary / Secondary Special,Married,,,3,0,,1
Female,135000,Working,Secondary / Secondary Special,Civil Marriage,Managers,45,27,0,,1
Male,,,,,,46,,0,17,1
Male,135000,Working,,,Security Staff,44,1,,20,1
Female,202500,Working,Higher Education,,High Skill Tech Staff,38,9,,,1
,,Commercial Associate,Higher Education,,,32,5,,,1
Female,157500,Working,Higher Education,Married,Sales Staff,27,8,0,,1
Female,450000,,Secondary / Secondary Special,,,,13,,,1
,180000,Commercial Associate,,Single / Not Married,Core Staff,28,,2,15,1
,450000,,Higher Education,Married,,,,1,20,1
,,Working,Secondary / Secondary Special,,,,12,,,1
,90000,Commercial Associate,Secondary / Secondary Special,,,34,2,,15,1
Female,135000,Working,,,,,,0,18,1
,67500,,,Married,Laborers,36,3,,9,1
,,,Secondary / Secondary Special,Married,,41,4,1,15,1
,,Working,Higher Education,,,,,0,13,1
,180000,Working,Secondary / Secondary Special,Married,,,2,0,,1
Female,112500,Commercial Associate,,Married,,35,15,0,,1
Female,112500,Working,Secondary / Secondary Special,,Sales Staff,,5,0,,1
Male,112500,Working,Secondary / Secondary Special,Married,Laborers,28,4,0,46,1
,360000,State Servant,,,Drivers,31,,0,,1
Female,,Working,,,Hr Staff,,,,53,1
,180000,,,,Core Staff,50,9,,15,1
Female,180000,Commercial Associate,Higher Education,,,,4,0,25,1
Female,,Working,,Single / Not Married,Cooking Staff,,,0,13,1
Female,,,Higher Education,Widow,,33,,0,,1
Female,180000,Commercial Associate,Secondary / Secondary Special,Married,,,6,0,,1
,121500,Working,Secondary / Secondary Special,Married,Laborers,26,,0,,1
,144000,,Secondary / Secondary Special,Married,,50,,,31,1
Female,,Working,,Married,Core Staff,40,,0,27,1
Female,247500,,Higher Education,,Sales Staff,,,0,10,1
,,Working,Secondary / Secondary Special,,Security Staff,,,,17,1
,90000,Working,,Married,High Skill Tech Staff,32,,0,3,1
Male,,,,,Laborers,,2,,41,1
,,,Incomplete Higher,Single / Not Married,Managers,27,8,0,,1
Male,450000,Commercial Associate,Incomplete Higher,Married,Managers,40,12,0,12,1
Male,157500,,Secondary / Secondary Special,Married,Laborers,35,,,,1
,193500,,,Married,Core Staff,31,4,0,,1
Female,135000,Working,,,,38,1,0,,1
,,,Higher Education,Married,Sales Staff,32,,0,2,1
Male,180000,Working,Secondary / Secondary Special,Married,,54,13,0,4,1
,144000,Commercial Associate,Secondary / Secondary Special,,,,7,,,1
,112500,,,Married,,40,8,0,,1
Female,,,,Married,,,,0,,1
Male,234000,,Secondary / Secondary Special,Married,,29,9,2,,1
Male,180000,Working,Secondary / Secondary Special,,,,1,0,21,1
,405000,Working,Secondary / Secondary Special,Married,,,11,,19,1
Female,225000,Commercial Associate,Higher Education,,,57,26,0,,1
,,Working,Secondary / Secondary Special,,Laborers,49,5,,,1
,,State Servant,,,High Skill Tech Staff,,14,,,1
Female,157500,,Higher Education,Married,,29,,,14,1
Female,112500,Working,Secondary / Secondary Special,Married,,52,,0,34,1
Male,202500,,Incomplete Higher,Married,Security Staff,,3,0,,1
Male,,,,Married,Core Staff,,7,0,1,1
,,,,Civil Marriage,Laborers,46,,0,16,1
,,Commercial Associate,,Separated,Managers,57,14,,52,1
,292500,,Secondary / Secondary Special,Married,Core Staff,34,,2,16,1
